key,constraint,kwarg,index,en,uz,prompt_uz
1348,keywords:existence,keywords,2.2,hou,,"""Brilliant Le Hou"" nomli shaxs haqida qisqa tarjimai hol yoz. Javobingda vergul ishlatma. Kamida 3 boʻlimni markdown bilan ajratib koʻrsat, yaʻni *ajratilgan boʻlim*. Tarjimai hol shaxs ismi bilan boshlanishi kerak."
1379,keywords:frequency,keyword,1.0,sarah,,"Sarah nomli ayol haqida, har doim 90°F boʻladigan shahrida yashovchi, bir limerik yoz. Javobingda kamida 6 boʻlimni markdown bilan taʻkidla, misol: *ajratilgan boʻlim*. Sarah nomini faqat bir marta koʻrsat."
1379,keywords:existence,keywords,2.0,sarah,,"Sarah nomli ayol haqida, har doim 90°F boʻladigan shahrida yashovchi, bir limerik yoz. Javobingda kamida 6 boʻlimni markdown bilan taʻkidla, misol: *ajratilgan boʻlim*. Sarah nomini faqat bir marta koʻrsat."
1393,keywords:frequency,keyword,0.0,synonyms,,Bir xil narsa uchun ikki xil nom ishlatishning ijobiy va salbiy tomonlarini roʻyxatla. Synonyms soʻzi kamida 3 marta paydo boʻlishiga ishonch hosil qil.
1402,keywords:forbidden_words,forbidden_words,1.0,dupage,,"Men ochiq roʻyxatga olish va mintaqaviy akkreditatsiyaga ega boʻlgan kollejga qiziqaman. Qaysi kollejni tavsiya qilarding? Javobingda ""DuPage"" va ""Dade"" kalit soʻzlarini kiritma. Kiritilgan yozuv muammosi yarataylik: javobingda harf p kamida 15 marta paydo boʻlishiga ishonch hosil qil."
1402,keywords:forbidden_words,forbidden_words,1.1,dade,,"Men ochiq roʻyxatga olish va mintaqaviy akkreditatsiyaga ega boʻlgan kollejga qiziqaman. Qaysi kollejni tavsiya qilarding? Javobingda ""DuPage"" va ""Dade"" kalit soʻzlarini kiritma. Kiritilgan yozuv muammosi yarataylik: javobingda harf p kamida 15 marta paydo boʻlishiga ishonch hosil qil."
1466,keywords:forbidden_words,forbidden_words,1.0,taylor,,"ʻWe Biz Hech Qachon Qaytmaymizʻ qoʻshigʻini tanqid qiladigan qoʻshiq yoz. Barcha javobingni ikki qoʻshtirnoq ichiga joylashtiring. Taylor, Swift yoki Together soʻzlarini tilga olmang."
1466,keywords:forbidden_words,forbidden_words,1.1,swift,,"ʻWe Biz Hech Qachon Qaytmaymizʻ qoʻshigʻini tanqid qiladigan qoʻshiq yoz. Barcha javobingni ikki qoʻshtirnoq ichiga joylashtiring. Taylor, Swift yoki Together soʻzlarini tilga olmang."
1466,keywords:forbidden_words,forbidden_words,1.2,together,,"ʻWe Biz Hech Qachon Qaytmaymizʻ qoʻshigʻini tanqid qiladigan qoʻshiq yoz. Barcha javobingni ikki qoʻshtirnoq ichiga joylashtiring. Taylor, Swift yoki Together soʻzlarini tilga olmang."
1476,keywords:forbidden_words,forbidden_words,0.0,name,,"Sen ""Azureʻdagi Cognitive Services Azure Applied AI Services deb qayta nomlanadi"" jumlasini jalb qiluvchi uslubda qayta yozishing mumkinmi, ""qayta nomlash"" yoki ""ism"" soʻzlarini ishlatmasdan? 3 gapdan kam boʻlsin (faqat 1 yoki 2 gap, 3 emas)."
1476,keywords:forbidden_words,forbidden_words,0.1,rename,,"Sen ""Azureʻdagi Cognitive Services Azure Applied AI Services deb qayta nomlanadi"" jumlasini jalb qiluvchi uslubda qayta yozishing mumkinmi, ""qayta nomlash"" yoki ""ism"" soʻzlarini ishlatmasdan? 3 gapdan kam boʻlsin (faqat 1 yoki 2 gap, 3 emas)."
1498,keywords:frequency,keyword,0.0,associations,,"Pomidorlar va aka-ukalar haqida qoʻshiq yoz. Bu kulgili va oʻsmirlar uchun mos boʻlishi kerak. ""assotsiatsiyalar"" soʻzi qoʻshiqda kamida 4 marta paydo boʻlishi kerak."
1531,keywords:existence,keywords,0.0,atlantis,,Nogironligi boʻlgan odamlar hayot sifatini qanday yaxshilash mumkinligi boʻyicha yangi tadqiqot loyihasi uchun taklif tayyorla. Javobing HTML sifatida koʻrsatilishi mumkin boʻlishi kerak va ʻatlantisʻ hamda ʻconstableʻ kalit soʻzlarini oʻz ichiga olishi kerak.
1531,keywords:existence,keywords,0.1,constable,,Nogironligi boʻlgan odamlar hayot sifatini qanday yaxshilash mumkinligi boʻyicha yangi tadqiqot loyihasi uchun taklif tayyorla. Javobing HTML sifatida koʻrsatilishi mumkin boʻlishi kerak va ʻatlantisʻ hamda ʻconstableʻ kalit soʻzlarini oʻz ichiga olishi kerak.
1580,keywords:forbidden_words,forbidden_words,0.0,can,,Bolalar uchun bir odam velosiped haydashni qanday oʻrganishini haqida hikoya yoz. Javobingda ʻcanʻ va ʻrideʻ soʻzlarini ishlatma.
1580,keywords:forbidden_words,forbidden_words,0.1,ride,,Bolalar uchun bir odam velosiped haydashni qanday oʻrganishini haqida hikoya yoz. Javobingda ʻcanʻ va ʻrideʻ soʻzlarini ishlatma.
1629,keywords:forbidden_words,forbidden_words,0.0,station,,"""Avtobus bekatga yetib keldi"" jumlasini yanada qiziqarli qil. ""bekat"" soʻzini ishlatishdan saqlan."
1658,keywords:existence,keywords,1.0,python,,"""20 yoshli kollej talabasiga, ish tajribasan, rezume yarat. \""Python\"" va \""Java\"" kalit soʻzlarni qoʻsh va javobni ikki qoʻshtirnoq ichida qamrab ol."""
1658,keywords:existence,keywords,1.1,java,,"""20 yoshli kollej talabasiga, ish tajribasan, rezume yarat. \""Python\"" va \""Java\"" kalit soʻzlarni qoʻsh va javobni ikki qoʻshtirnoq ichida qamrab ol."""
1659,startend:end_checker,end_phrase,0.0,You cannot fail with the steps listed above.,,"Men 12-sinf oʻquvchisiman va kollej arizalarimda yordamga muhtojman, menga baʻzi maslahatlar bera olasanmi? Javobingning juda oxiri ""Yuqorida sanab oʻtilgan qadamlar bilan muvaffaqiyatsizlikka uchrash mumkin emas."" deb yozilishi kerak. Bu iboradan keyin boshqa soʻzlar kelmasligi kerak."
1675,keywords:forbidden_words,forbidden_words,0.0,heute,,"""今天天气很好"" jumlasini nemis tiliga tarjima qila olasanmi? ""heute"" soʻzini ishlatma. Iltimos, boshqa soʻz ishlat."
1691,keywords:forbidden_words,forbidden_words,1.0,moser,,"Soʻrov: 1. Chexiya Respublikasining Bogemiyasida tashrif buyurish uchun eng yaxshi joylar qaysilar? 2. Tavsiya etilgan mehmonxonalar roʻyxatini qoʻsh. 3. BUTUN chiqishni JSON formatida oʻrab qoʻy. 4. Quyidagi kalit soʻzlarni kiritma: Moser, Glassworks, Pravcice, Karlovy, Vary"
1691,keywords:forbidden_words,forbidden_words,1.1,glassworks,,"Soʻrov: 1. Chexiya Respublikasining Bogemiyasida tashrif buyurish uchun eng yaxshi joylar qaysilar? 2. Tavsiya etilgan mehmonxonalar roʻyxatini qoʻsh. 3. BUTUN chiqishni JSON formatida oʻrab qoʻy. 4. Quyidagi kalit soʻzlarni kiritma: Moser, Glassworks, Pravcice, Karlovy, Vary"
1691,keywords:forbidden_words,forbidden_words,1.2,pravcice,,"Soʻrov: 1. Chexiya Respublikasining Bogemiyasida tashrif buyurish uchun eng yaxshi joylar qaysilar? 2. Tavsiya etilgan mehmonxonalar roʻyxatini qoʻsh. 3. BUTUN chiqishni JSON formatida oʻrab qoʻy. 4. Quyidagi kalit soʻzlarni kiritma: Moser, Glassworks, Pravcice, Karlovy, Vary"
1691,keywords:forbidden_words,forbidden_words,1.3,karlovy,,"Soʻrov: 1. Chexiya Respublikasining Bogemiyasida tashrif buyurish uchun eng yaxshi joylar qaysilar? 2. Tavsiya etilgan mehmonxonalar roʻyxatini qoʻsh. 3. BUTUN chiqishni JSON formatida oʻrab qoʻy. 4. Quyidagi kalit soʻzlarni kiritma: Moser, Glassworks, Pravcice, Karlovy, Vary"
1691,keywords:forbidden_words,forbidden_words,1.4,vary,,"Soʻrov: 1. Chexiya Respublikasining Bogemiyasida tashrif buyurish uchun eng yaxshi joylar qaysilar? 2. Tavsiya etilgan mehmonxonalar roʻyxatini qoʻsh. 3. BUTUN chiqishni JSON formatida oʻrab qoʻy. 4. Quyidagi kalit soʻzlarni kiritma: Moser, Glassworks, Pravcice, Karlovy, Vary"
1705,startend:end_checker,end_phrase,1.0,Hope you agree with me.,,Xoʻjayiningdan maosh oshirishni soʻrash uchun yuborish mumkin boʻlgan mutaxassisona elektron pochta yoz. Javobing oxirida P.P.S bilan boshlanuvchi postskriptni aniq qoʻsh. Butun javobingni quyidagi aniq ibora bilan yakunla: Siz men bilan rozi boʻlishingizni umid qilaman.
1713,keywords:frequency,keyword,0.0,disappointed,,"Banan poʻstining biologiyasi haqida qiziqarli va kulgili maqola yoz. Javobingda ""disappointed"" soʻzi kamida 2 marta paydo boʻlishi kerak va kamida olti boʻlim markdown bilan ajratilishi kerak, yaʻni *banana peel*."
1730,detectable_format:multiple_sections,section_spliter,1.0,Section,,"""Bir sababga eʻtibor qaratish haqida maqola yoz. Javobingning butun matni ikki qoʻshtirnoq ichida boʻlishiga ishonch hosil qil va beshta boʻlimga ega boʻling. Har bir boʻlimning boshini ʻBoʻlim Xʻ bilan belgila."""
1779,keywords:existence,keywords,1.0,disgusting,,"LIMADA MAHALLIY MAHSULOTLARNI SOTIB OLISH UCHUN DOʻKON SAFARI UCHUN YOʻL XARITASINI YOZING. YOʻL XARITASINI KULGILI QILING, BARCHA HARFLARINI KATTA HARFLARDA YOZING VA ʻDISGUSTINGʻ, ʻDELICIOUSʻ, ʻBADʻ, ʻGOODʻ KALIT SOʻZLARINI QOʻSHING."
1779,keywords:existence,keywords,1.1,delicious,,"LIMADA MAHALLIY MAHSULOTLARNI SOTIB OLISH UCHUN DOʻKON SAFARI UCHUN YOʻL XARITASINI YOZING. YOʻL XARITASINI KULGILI QILING, BARCHA HARFLARINI KATTA HARFLARDA YOZING VA ʻDISGUSTINGʻ, ʻDELICIOUSʻ, ʻBADʻ, ʻGOODʻ KALIT SOʻZLARINI QOʻSHING."
1779,keywords:existence,keywords,1.2,bad,,"LIMADA MAHALLIY MAHSULOTLARNI SOTIB OLISH UCHUN DOʻKON SAFARI UCHUN YOʻL XARITASINI YOZING. YOʻL XARITASINI KULGILI QILING, BARCHA HARFLARINI KATTA HARFLARDA YOZING VA ʻDISGUSTINGʻ, ʻDELICIOUSʻ, ʻBADʻ, ʻGOODʻ KALIT SOʻZLARINI QOʻSHING."
1779,keywords:existence,keywords,1.3,good,,"LIMADA MAHALLIY MAHSULOTLARNI SOTIB OLISH UCHUN DOʻKON SAFARI UCHUN YOʻL XARITASINI YOZING. YOʻL XARITASINI KULGILI QILING, BARCHA HARFLARINI KATTA HARFLARDA YOZING VA ʻDISGUSTINGʻ, ʻDELICIOUSʻ, ʻBADʻ, ʻGOODʻ KALIT SOʻZLARINI QOʻSHING."
1928,keywords:frequency,keyword,2.0,flesh,,"Quyidagi jumlani rasmiy hikoyaga kengaytir: ""Mening itim jigarrang va mushugim qora."" Javobingda ikki burchak qavs ichida sarlavha boʻlishi kerak, yaʻni <<sarlavha>>, va hech qanday vergul boʻlmasligi kerak. Javobingda ""goʻsht"" soʻzi 3 martadan kam paydo boʻlishi kerak."
1936,keywords:forbidden_words,forbidden_words,0.0,bad,,"Xizmat koʻrsatuvchi mijozlarga xizmat koʻrsatish vakolatini baholash uchun rubrikani, nuqta roʻyxati shaklida yoz. Javobingda [ʻyomonʻ, ʻkam ishlashʻ] kalit soʻzlarini oʻz ichiga olmaydi va quyidagi shaklda aniq 6 nuqta roʻyxati boʻlishi kerak: * Nuqtali belgi 1 * Nuqtali belgi 2 * Nuqtali belgi 3 *"
1936,keywords:forbidden_words,forbidden_words,0.1,underperform,,"Xizmat koʻrsatuvchi mijozlarga xizmat koʻrsatish vakolatini baholash uchun rubrikani, nuqta roʻyxati shaklida yoz. Javobingda [ʻyomonʻ, ʻkam ishlashʻ] kalit soʻzlarini oʻz ichiga olmaydi va quyidagi shaklda aniq 6 nuqta roʻyxati boʻlishi kerak: * Nuqtali belgi 1 * Nuqtali belgi 2 * Nuqtali belgi 3 *"
2028,keywords:forbidden_words,forbidden_words,0.0,yes,,Arktikadagi ob-havo sharoitlari yilning koʻp qismida juda sovuqmi? Butun javobingda ʻyesʻ yoki ʻnoʻ soʻzlarini aytma.
2028,keywords:forbidden_words,forbidden_words,0.1,no,,Arktikadagi ob-havo sharoitlari yilning koʻp qismida juda sovuqmi? Butun javobingda ʻyesʻ yoki ʻnoʻ soʻzlarini aytma.
2041,keywords:forbidden_words,forbidden_words,1.0,rich,,"Doʻstim"" Jake ga juda uzun elektron pochta yoz, hamma narsa qanday ketayotganini soʻrab. ""Men hozir boyman"" deb ayting, lekin boyman deb aytmasdan. Javobing kamida 40 gapdan iborat boʻlishi kerak va ""boy"" va ""pul"" soʻzlarini oʻz ichiga olmaydi."
2041,keywords:forbidden_words,forbidden_words,1.1,money,,"Doʻstim"" Jake ga juda uzun elektron pochta yoz, hamma narsa qanday ketayotganini soʻrab. ""Men hozir boyman"" deb ayting, lekin boyman deb aytmasdan. Javobing kamida 40 gapdan iborat boʻlishi kerak va ""boy"" va ""pul"" soʻzlarini oʻz ichiga olmaydi."
2084,keywords:frequency,keyword,0.0,dose,,"100 gramm sof kafein ichib olgan boʻlsang, oʻlgansizmi? Iltimos, bu javobni talabalarga tushuntirayotgandek ber. Iltimos, javobingda ""oʻlish"" soʻzidan foydalanmang, lekin ""doza"" soʻzini kamida 5 marta eslatib oʻting."
2084,keywords:forbidden_words,forbidden_words,1.0,die,,"100 gramm sof kafein ichib olgan boʻlsang, oʻlgansizmi? Iltimos, bu javobni talabalarga tushuntirayotgandek ber. Iltimos, javobingda ""oʻlish"" soʻzidan foydalanmang, lekin ""doza"" soʻzini kamida 5 marta eslatib oʻting."
2142,keywords:frequency,keyword,0.0,predatory,,"Yangi universitet kursi uchun “Dunyoning Tarixi, Itlar Tarafidan Aytilgan” mavzusida taklifnomani yoz. Taklifnomada “yirtqich” soʻzi kamida ikki marta, yaʻni “yirtqich” soʻzi, paydo boʻlishiga ishonch hosil qil."
2143,keywords:forbidden_words,forbidden_words,0.0,reschedule,,"""Bugun uchrashuvga kela olmasligim uchun kechirim soʻrayman. Bu qiyinchilik tugʻdirgani uchun uzr soʻrayman."" Iltimos, buni kamida 5 gapga kengaytir. ""qayta rejalashtirish"" yoki ""bepul"" soʻzlarini ishlatma."
2143,keywords:forbidden_words,forbidden_words,0.1,free,,"""Bugun uchrashuvga kela olmasligim uchun kechirim soʻrayman. Bu qiyinchilik tugʻdirgani uchun uzr soʻrayman."" Iltimos, buni kamida 5 gapga kengaytir. ""qayta rejalashtirish"" yoki ""bepul"" soʻzlarini ishlatma."
2169,keywords:existence,keywords,1.0,talented,,"2022 yilgi qishki Olimpiya oʻyinlari nima uchun eng yaxshi reytinglarga erishmadi? Javobingda y harfi kamida 5 marta boʻlishiga ishonch hosil qil va ""isteʻdodli"" hamda ""tyanjin"" kalit soʻzlarini qoʻsh."
2169,keywords:existence,keywords,1.1,tianjin,,"2022 yilgi qishki Olimpiya oʻyinlari nima uchun eng yaxshi reytinglarga erishmadi? Javobingda y harfi kamida 5 marta boʻlishiga ishonch hosil qil va ""isteʻdodli"" hamda ""tyanjin"" kalit soʻzlarini qoʻsh."
2246,keywords:frequency,keyword,1.0,climatic,,"Subic Bay Freeport Zone ga sayohat qilishni xohlayman, qaysi tumanlarda qolishim kerak? Menga gʻazabli tavsiya ber. Kamida 400 soʻzdan iborat javob ber. Javobingda “iqlimiy” soʻzi kamida 2 marta paydo boʻlishi kerak. Javobda kvadrat qavs ichida koʻrsatilgan kamida 3 ta toʻldiruvchi boʻlishi kerak, m"
2275,keywords:frequency,keyword,2.0,batted,,Odamlarga eng yaxshi yashash joylarini topishda yordam beradigan yangi startap uchun 500 soʻzlik taqdimot matni yarat. Auditoriya talabalar boʻlishi kerak va taqdimot maʻruza uslubida yozilishi kerak. Barcha katta harflar bilan yozilgan soʻzlar javobda kamida 16 marta paydo boʻlishi kerak va vergul 
2328,keywords:forbidden_words,forbidden_words,0.0,startup,,Vaqt capsule xizmati uchun startap taqdimotini yoz. startap va capsule soʻzlari javobda boʻlmasligi kerak.
2328,keywords:forbidden_words,forbidden_words,0.1,capsule,,Vaqt capsule xizmati uchun startap taqdimotini yoz. startap va capsule soʻzlari javobda boʻlmasligi kerak.
2386,keywords:frequency,keyword,1.0,humming,,"Quyidagi jumlalarni kengaytira olasanmi: ""Men dasturiy taʻminotning mahalliylashtirilgan versiyasini hech qachon koʻrmaganman. Men xalqaro versiyasini koʻrganman."" Aniq 3 paragraf boʻlishini, har birini uchta yulduz (***) bilan ajratilishini va ""xirgoyi"" soʻzining kamida bir marta ishlatilishini xoh"
2392,keywords:frequency,keyword,0.0,founding,,"Moscowga 3 kunlik safar uchun reja tuz, “founding” soʻzini ikki martadan kam ishlat. JSON kodidan oldin va keyin hech narsa qoʻshmang. Butunlay chiqishing faqat JSON kod blokidan iborat boʻlishi kerak."
2395,keywords:forbidden_words,forbidden_words,1.0,flea,,Bit bozori haqida Facebook postini JSON formatida yoz. Javobda ʻfleaʻ va ʻJSONʻ kalit soʻzlarini kiritma.
2395,keywords:forbidden_words,forbidden_words,1.1,json,,Bit bozori haqida Facebook postini JSON formatida yoz. Javobda ʻfleaʻ va ʻJSONʻ kalit soʻzlarini kiritma.
2398,startend:end_checker,end_phrase,0.0,"your love, and thanks.",,Menga Kaliforniya haqida sheʻr ber. Butun javobingning oxiri aynan quyidagicha boʻlishi kerak: sevging va minnatdorchilik bilan.
2439,length_constraints:nth_paragraph_first_word,first_word,1.0,punched,,"Quyidagi jumlani aniq 3 paragrafga, ikki yangi qator bilan ajratib, vergul ishlatmasdan qayta yoz: ""Jinoyatlar politsiya tomonidan ushlanadigan yagona narsalar emas."" 1-paragraf-paragraf ""musht tushirdi"" soʻzi bilan boshlanishi kerak. Javobda kamida 2 ta kvadrat qavs ichidagi oʻrinbosar, masalan [ma"
2471,keywords:forbidden_words,forbidden_words,0.0,sad,,"Qoʻshma Shtatlarning Prezidentining bosim ostida boʻlishi haqida kollej akademik maqola yoz. Javobda ʻsadʻ, ʻcrazyʻ, ʻstressʻ kabi salbiy soʻzlarni kiritmasligiga ishonch hosil qil. Shuningdek, [manzil] kabi kvadrat qavs ichida koʻrsatilgan kamida 15 ta oʻrnashuvchani qoʻshish kerak: [ism], [sana], "
2471,keywords:forbidden_words,forbidden_words,0.1,crazy,,"Qoʻshma Shtatlarning Prezidentining bosim ostida boʻlishi haqida kollej akademik maqola yoz. Javobda ʻsadʻ, ʻcrazyʻ, ʻstressʻ kabi salbiy soʻzlarni kiritmasligiga ishonch hosil qil. Shuningdek, [manzil] kabi kvadrat qavs ichida koʻrsatilgan kamida 15 ta oʻrnashuvchani qoʻshish kerak: [ism], [sana], "
2471,keywords:forbidden_words,forbidden_words,0.2,stress,,"Qoʻshma Shtatlarning Prezidentining bosim ostida boʻlishi haqida kollej akademik maqola yoz. Javobda ʻsadʻ, ʻcrazyʻ, ʻstressʻ kabi salbiy soʻzlarni kiritmasligiga ishonch hosil qil. Shuningdek, [manzil] kabi kvadrat qavs ichida koʻrsatilgan kamida 15 ta oʻrnashuvchani qoʻshish kerak: [ism], [sana], "
2549,length_constraints:nth_paragraph_first_word,first_word,0.0,bonding,,"1987-88 mavsumida qaysi jamoa yaxshiroq edi: Tottenham Hotspurmi yoki Stocktonmi? Javobing aniq 3 paragraf boʻlishi kerak, paragraflar faqat ikki yangi qator bilan ajratilishi kerak, pythonʻda ʻ\n\nʻ kabi. Uchinchi paragraf ""bogʻlanish"" soʻzi bilan boshlanishi kerak. Javobda ""gao"" va ""yuraklar"" kali"
